conceptId,conceptName,C,C++,Rust,Zig,Java,C#,Kotlin,Swift,Go,Python,JavaScript,TypeScript,Dart,Ruby,PHP,Haskell,OCaml,Erlang/Elixir,Lisp/Clojure,Smalltalk,Prolog,APL/J,Forth,SQL,Ada,Scala
abstraction-over-types.ad,Ad,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.associated,Associated,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.bounded,Bounded,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.coherence,Coherence,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.constraints,Constraints,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.dependent,Dependent,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.erasure,Erasure,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.existential,Existential,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.generic,Generic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.generics,Generics,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.higher,Higher,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.hoc,Hoc,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
abstraction-over-types.indices,Indices,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
