conceptId,conceptName,C,C++,Rust,Zig,Java,C#,Kotlin,Swift,Go,Python,JavaScript,TypeScript,Dart,Ruby,PHP,Haskell,OCaml,Erlang/Elixir,Lisp/Clojure,Smalltalk,Prolog,APL/J,Forth,SQL,Ada,Scala
abstraction-over-types.ad,Ad-hoc Polymorphism (Overloading & Typeclasses),emulated,first-class,first-class,absent-by-design,first-class,first-class,first-class,first-class,absent-by-design,first-class,emulated,partial,partial,first-class,emulated,first-class,absent-by-design,first-class,first-class,first-class,emulated,first-class,absent-by-design,first-class,first-class,first-class
abstraction-over-types.associated,Associated Types & Type Families,absent-by-design,emulated,first-class,emulated,absent,absent,absent,first-class,absent-by-design,partial,absent,emulated,absent,absent,absent,first-class,first-class,absent,absent,absent,absent,absent,absent,absent,partial,first-class
abstraction-over-types.bounded,Bounded,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.coherence,Coherence,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.constraints,Constraints,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.dependent,Dependent,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.erasure,Erasure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.existential,Existential,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.generic,Generic,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.generics,Generics,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.higher,Higher,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.hoc,Hoc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.indices,Indices,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.inference,Inference,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
abstraction-over-types.kinded,Kinded,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
